year,sprint,area,issues_total,issues_total_closed,issues_status_to_do,issues_status_in_progress
2023,70,tools,21,16,,
2023,71,app security,5,4,,
2023,71,cloud security,15,12,,
2023,71,corporate,1,1,,
2023,71,data batch,21,16,,
2023,71,data streaming,1,0,,
2023,71,data tools,41,35,,
2023,71,endpoint protection,7,3,,
2023,71,incident response,9,0,,
2023,71,integration,12,11,,
2023,71,mlops,6,2,,
2023,71,none,1,1,,
2023,71,observability,9,8,,
2023,71,platform,23,18,,
2023,71,tools,24,17,,
2023,72,app security,7,7,,
2023,72,cloud security,15,11,,
2023,72,data batch,15,13,,
2023,72,data streaming,4,3,,
2023,72,data tools,41,37,,
2023,72,endpoint protection,5,3,,
2023,72,incident response,9,8,,
2023,72,integration,13,10,,
2023,72,mlops,4,2,,
2023,72,observability,6,6,,
2023,72,platform,29,23,,
2023,72,tools,21,14,,
2023,73,app security,4,4,,
2023,73,cloud security,11,9,,
2023,73,corporate,6,5,,
2023,73,data batch,12,11,,
2023,73,data streaming,3,3,,
2023,73,data tools,28,23,,
2023,73,endpoint protection,6,4,,
2023,73,incident response,5,1,,
2023,73,integration,9,9,,
2023,73,mlops,5,2,,
2023,73,observability,4,4,,
2023,73,platform,31,19,,
2023,73,tools,21,17,,
2023,74,app security,6,5,,
2023,74,cloud security,12,9,,
2023,74,corporate,7,4,,
2023,74,data batch,4,4,,
2023,74,data streaming,1,0,,
2023,74,data tools,34,28,,
2023,74,endpoint protection,6,3,,
2023,74,incident response,8,5,,
2023,74,integration,9,9,,
2023,74,mlops,3,0,,
2023,74,observability,8,8,,
2023,74,platform,30,14,,
2023,74,tools,21,18,,
2023,75,app security,3,3,,
2023,75,cloud security,9,3,,
2023,75,corporate,4,2,,
2023,75,data batch,10,10,,
2023,75,data streaming,1,0,,
2023,75,data tools,35,29,,
2023,75,endpoint protection,7,5,,
2023,75,incident response,7,6,,
2023,75,integration,9,9,,
2023,75,mlops,8,3,,
2023,75,none,4,3,,
2023,75,observability,5,3,,
2023,75,platform,32,15,,
2023,75,tools,16,14,,
2023,76,app security,5,5,,
2023,76,cloud security,17,14,,
2023,76,corporate,4,0,,
2023,76,cyber defense,7,7,,
2023,76,data batch,4,3,,
2023,76,data streaming,3,2,,
2023,76,data tools,22,15,,
2023,76,endpoint protection,4,3,,
2023,76,incident response,5,5,,
2023,76,integration,4,2,,
2023,76,mlops,5,2,,
2023,76,observability,19,14,,
2023,76,platform,36,24,,
2023,76,tools,15,12,,
2023,77,app security,10,9,,
2023,77,cloud security,11,7,,
2023,77,corporate,5,3,,
2023,77,cyber defense,6,5,,
2023,77,data batch,4,3,,
2023,77,data streaming,1,1,,
2023,77,data tools,19,11,,
2023,77,endpoint protection,5,4,,
2023,77,incident response,1,0,,
2023,77,integration,6,5,,
2023,77,mlops,4,2,,
2023,77,observability,17,9,,
2023,77,platform,24,14,,
2023,77,tools,9,6,,
2023,78,app security,12,9,,
2023,78,cloud security,13,11,,
2023,78,corporate,3,2,,
2023,78,cyber defense,9,8,,
2023,78,data batch,1,0,,
2023,78,data streaming,4,3,,
2023,78,data tools,28,14,,
2023,78,endpoint protection,2,2,,
2023,78,incident response,2,2,,
2023,78,integration,6,4,,
2023,78,mlops,4,0,,
2023,78,none,4,2,,
2023,78,observability,21,13,,
2023,78,platform,25,17,,
2023,78,tools,11,7,,
2023,79,app security,9,0,,
2023,79,cloud security,12,1,,
2023,79,corporate,2,0,,
2023,79,cyber defense,16,0,,
2023,79,data batch,1,0,,
2023,79,data tools,17,2,,
2023,79,integration,10,2,,
2023,79,mlops,5,1,,
2023,79,observability,9,0,,
2023,79,platform,32,4,,
2023,79,tools,14,3,,
